,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_Location,Protein_longname and Alternative_names
248,Q92918,M4K1_HUMAN,MAP4K1 HPK1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,Mitogen-activated protein kinase kinase kinase kinase 1  (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1)
249,Q12851,M4K2_HUMAN,MAP4K2 GCK RAB8IP,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Basolateral cell membrane Peripheral membrane protein Golgi apparatus membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase kinase 2  (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)
250,Q8IVH8,M4K3_HUMAN,MAP4K3 RAB8IPL1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Basolateral cell membrane Peripheral membrane protein Golgi apparatus membrane Peripheral membrane protein,Mitogen-activated protein kinase kinase kinase kinase 3  (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3)
251,O95819,M4K4_HUMAN,MAP4K4 HGK KIAA0687 NIK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,Mitogen-activated protein kinase kinase kinase kinase 4  (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)
252,Q9Y4K4,M4K5_HUMAN,MAP4K5,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,Mitogen-activated protein kinase kinase kinase kinase 5  (Kinase homologous to SPS1/STE20) (KHS) (MAPK/ERK kinase kinase kinase 5) (MEK kinase kinase 5) (MEKKK 5)
253,Q8N4C8,MINK1_HUMAN,MINK1 B55 MAP4K6 MINK YSK2 ZC3,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily","Cytoplasm Cell junction, synapse, postsynaptic cell membrane, postsynaptic density Cell projection, axon Cell projection, dendrite",Misshapen-like kinase 1  (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)
254,Q8NEV4,MYO3A_HUMAN,MYO3A,"TRAFAC class myosin-kinesin ATPase superfamily, Myosin family; Protein kinase superfamily, STE Ser/Thr protein kinase family","Cytoplasm, cytoskeleton. Cytoplasm Cell projection, filopodium tip Cell projection, stereocilium",Myosin-IIIa 
255,Q8WXR4,MYO3B_HUMAN,MYO3B,"TRAFAC class myosin-kinesin ATPase superfamily, Myosin family; Protein kinase superfamily, STE Ser/Thr protein kinase family","Cytoplasm, cytoskeleton. Cell projection, stereocilium",Myosin-IIIb 
256,Q7Z2Y5,NRK_HUMAN,NRK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily","Cytoplasm, cytoskeleton. Cell projection, stereocilium",Nik-related protein kinase 
257,O95747,OXSR1_HUMAN,OXSR1 KIAA1101 OSR1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,Serine/threonine-protein kinase OSR1  (Oxidative stress-responsive 1 protein)
258,Q13153,PAK1_HUMAN,PAK1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily","Cytoplasm Cell junction, focal adhesion Cell membrane Cell projection, ruffle membrane Cell projection, invadopodium",Serine/threonine-protein kinase PAK 1  (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)
259,Q13177,PAK2_HUMAN,PAK2,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily","Cytoplasm Cell junction, focal adhesion Cell membrane Cell projection, ruffle membrane Cell projection, invadopodium",Serine/threonine-protein kinase PAK 2  (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)]
260,Q13177,PAK2_HUMAN,PAK2,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily","Cytoplasm Cell junction, focal adhesion Cell membrane Cell projection, ruffle membrane Cell projection, invadopodium",Serine/threonine-protein kinase PAK 2  (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)]
261,O75914,PAK3_HUMAN,PAK3 OPHN3,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,Serine/threonine-protein kinase PAK 3  (Beta-PAK) (Oligophrenin-3) (p21-activated kinase 3) (PAK-3)
262,O96013,PAK4_HUMAN,PAK4 KIAA1142,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,Serine/threonine-protein kinase PAK 4  (p21-activated kinase 4) (PAK-4)
263,Q9P286,PAK5_HUMAN,PAK5 KIAA1264 PAK7,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,Serine/threonine-protein kinase PAK 5  (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)
264,Q9NQU5,PAK6_HUMAN,PAK6 PAK5,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,Serine/threonine-protein kinase PAK 6  (PAK-5) (p21-activated kinase 6) (PAK-6)
265,Q96KB5,TOPK_HUMAN,PBK TOPK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",Cytoplasm,Lymphokine-activated killer T-cell-originated protein kinase  (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase)
266,Q9H2G2,SLK_HUMAN,SLK KIAA0204 STK2,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK)  (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)
267,O94804,STK10_HUMAN,STK10 LOK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase 10  (Lymphocyte-oriented kinase)
268,Q9Y6E0,STK24_HUMAN,STK24 MST3 STK3,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase 24  (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]
269,O00506,STK25_HUMAN,STK25 SOK1 YSK1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Golgi apparatus,Serine/threonine-protein kinase 25  (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)
270,Q9P289,STK26_HUMAN,STK26 MASK MST4,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Golgi apparatus,Serine/threonine-protein kinase 26  (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)
271,Q13188,STK3_HUMAN,STK3 KRS1 MST2,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Nucleus,Serine/threonine-protein kinase 3  (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) (Serine/threonine-protein kinase Krs-1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]
272,Q9UEW8,STK39_HUMAN,STK39 SPAK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Nucleus,STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase)  (DCHT) (Serine/threonine-protein kinase 39)
273,Q13043,STK4_HUMAN,STK4 KRS2 MST1,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Nucleus,Serine/threonine-protein kinase 4  (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)]
274,Q7RTN6,STRAA_HUMAN,STRADA LYK5 STRAD,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Nucleus Cytoplasm,STE20-related kinase adapter protein alpha (STRAD alpha) (STE20-related adapter protein) (Serologically defined breast cancer antigen NY-BR-96)
275,Q9C0K7,STRAB_HUMAN,STRADB ALS2CR2 ILPIP PRO1038,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Nucleus Cytoplasm,STE20-related kinase adapter protein beta (STRAD beta) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein) (CALS-21) (ILP-interacting protein) (Pseudokinase ALS2CR2)
276,Q7L7X3,TAOK1_HUMAN,TAOK1 KIAA1361 MAP3K16 MARKK,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm,Serine/threonine-protein kinase TAO1  (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)
277,Q9UL54,TAOK2_HUMAN,TAOK2 KIAA0881 MAP3K17 PSK PSK1 UNQ2971/PRO7431,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily","Cytoplasmic vesicle membrane Multi-pass membrane protein Cytoplasm, cytoskeleton. Nucleus.",Serine/threonine-protein kinase TAO2  (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2)
278,Q9H2K8,TAOK3_HUMAN,TAOK3 DPK JIK KDS MAP3K18,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Cell membrane Peripheral membrane protein,Serine/threonine-protein kinase TAO3  (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)
279,Q9UKE5,TNIK_HUMAN,TNIK KIAA0551,"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",Cytoplasm Cell membrane Peripheral membrane protein,TRAF2 and NCK-interacting protein kinase 
280,Q04771,ACVR1_HUMAN,ACVR1 ACVRLK2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Cytoplasm Cell membrane Peripheral membrane protein,Activin receptor type-1  (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)
281,P36896,ACV1B_HUMAN,ACVR1B ACVRLK4 ALK4,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Cell membrane Single-pass type I membrane protein,Activin receptor type-1B  (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)
282,Q8NER5,ACV1C_HUMAN,ACVR1C ALK7,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Membrane Single-pass type I membrane protein,Activin receptor type-1C  (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)
283,P27037,AVR2A_HUMAN,ACVR2A ACVR2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Membrane Single-pass type I membrane protein,Activin receptor type-2A  (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)
284,Q13705,AVR2B_HUMAN,ACVR2B,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Cell membrane Single-pass type I membrane protein,Activin receptor type-2B  (Activin receptor type IIB) (ACTR-IIB)
285,P37023,ACVL1_HUMAN,ACVRL1 ACVRLK1 ALK1,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Cell membrane Single-pass type I membrane protein,Serine/threonine-protein kinase receptor R3 (SKR3)  (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)
286,Q16671,AMHR2_HUMAN,AMHR2 AMHR MISR2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Cell membrane Single-pass type I membrane protein,Anti-Muellerian hormone type-2 receptor  (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII)
287,Q8NFD2,ANKK1_HUMAN,ANKK1 PKK2 SGK288,"Protein kinase superfamily, TKL Ser/Thr protein kinase family",Cell membrane Single-pass type I membrane protein,Ankyrin repeat and protein kinase domain-containing protein 1  (Protein kinase PKK2) (Sugen kinase 288) (SgK288) (X-kinase)
288,P10398,ARAF_HUMAN,ARAF ARAF1 PKS PKS2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily",Cell membrane Single-pass type I membrane protein,Serine/threonine-protein kinase A-Raf  (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)
289,P36894,BMR1A_HUMAN,BMPR1A ACVRLK3 ALK3,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Cell membrane Single-pass type I membrane protein Cell surface,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A)  (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)
290,O00238,BMR1B_HUMAN,BMPR1B,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Cell membrane Membrane; Single-pass type I membrane protein.,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B)  (CD antigen CDw293)
291,Q13873,BMPR2_HUMAN,BMPR2 PPH1,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Cell membrane Single-pass type I membrane protein.,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2)  (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)
292,P15056,BRAF_HUMAN,BRAF BRAF1 RAFB1,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily",Nucleus Cytoplasm. Cell membrane,Serine/threonine-protein kinase B-raf  (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)
293,Q13418,ILK_HUMAN,ILK ILK1 ILK2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family","Cell junction, focal adhesion Cell membrane; Peripheral membrane protein; Cytoplasmic side Cell projection, lamellipodium Cytoplasm, myofibril, sarcomere",Integrin-linked protein kinase  (59 kDa serine/threonine-protein kinase) (ILK-1) (ILK-2) (p59ILK)
294,P51617,IRAK1_HUMAN,IRAK1 IRAK,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily",Cytoplasm Nucleus Lipid droplet,Interleukin-1 receptor-associated kinase 1 (IRAK-1) 
295,O43187,IRAK2_HUMAN,IRAK2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily",Cytoplasm Nucleus Lipid droplet,Interleukin-1 receptor-associated kinase-like 2 (IRAK-2)
296,Q9Y616,IRAK3_HUMAN,IRAK3,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily",Cytoplasm Nucleus Lipid droplet,Interleukin-1 receptor-associated kinase 3 (IRAK-3)  (IL-1 receptor-associated kinase M) (IRAK-M)
297,Q9NWZ3,IRAK4_HUMAN,IRAK4,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily",Cytoplasm,Interleukin-1 receptor-associated kinase 4 (IRAK-4)  (Renal carcinoma antigen NY-REN-64)
298,Q8IVT5,KSR1_HUMAN,KSR1 KSR,"Protein kinase superfamily, TKL Ser/Thr protein kinase family","Cytoplasm Membrane Peripheral membrane protein Cell membrane Peripheral membrane protein Cell projection, ruffle membrane Endoplasmic reticulum membrane",Kinase suppressor of Ras 1
299,Q6VAB6,KSR2_HUMAN,KSR2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family",Cytoplasm Membrane Peripheral membrane protein,Kinase suppressor of Ras 2 (hKSR2) 
300,P53667,LIMK1_HUMAN,LIMK1 LIMK,"Protein kinase superfamily, TKL Ser/Thr protein kinase family","Cytoplasm. Nucleus. Cell projection, lamellipodium",LIM domain kinase 1 (LIMK-1) 
301,P53671,LIMK2_HUMAN,LIMK2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family","Cytoplasm. Nucleus. Cell projection, lamellipodium",LIM domain kinase 2 (LIMK-2) 
302,Q38SD2,LRRK1_HUMAN,LRRK1 KIAA1790,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, ROCO subfamily",Cytoplasm,Leucine-rich repeat serine/threonine-protein kinase 1 
303,Q5S007,LRRK2_HUMAN,LRRK2 PARK8,"Protein kinase superfamily, TKL Ser/Thr protein kinase family","Membrane; Peripheral membrane protein. Cytoplasm. Perikaryon. Mitochondrion. Golgi apparatus. Cell projection, axon. Cell projection, dendrite. Endoplasmic reticulum Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane Peripheral membrane protein Cytoplasmic side Endosome Lysosome Mitochondrion outer membrane Mitochondrion inner membrane Mitochondrion matrix",Leucine-rich repeat serine/threonine-protein kinase 2  (Dardarin)
304,P04049,RAF1_HUMAN,RAF1 RAF,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily","Membrane; Peripheral membrane protein. Cytoplasm. Perikaryon. Mitochondrion. Golgi apparatus. Cell projection, axon. Cell projection, dendrite. Endoplasmic reticulum Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane Peripheral membrane protein Cytoplasmic side Endosome Lysosome Mitochondrion outer membrane Mitochondrion inner membrane Mitochondrion matrix",RAF proto-oncogene serine/threonine-protein kinase  (Proto-oncogene c-RAF) (cRaf) (Raf-1)
305,Q13546,RIPK1_HUMAN,RIPK1 RIP RIP1,"Protein kinase superfamily, TKL Ser/Thr protein kinase family",Cytoplasm. Cell membrane,Receptor-interacting serine/threonine-protein kinase 1  (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)
306,O43353,RIPK2_HUMAN,RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092,"Protein kinase superfamily, TKL Ser/Thr protein kinase family",Cytoplasm,Receptor-interacting serine/threonine-protein kinase 2  (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) 
307,Q9Y572,RIPK3_HUMAN,RIPK3 RIP3,"Protein kinase superfamily, TKL Ser/Thr protein kinase family","Cytoplasm, cytosol Cell membrane Mitochondrion",Receptor-interacting serine/threonine-protein kinase 3  (RIP-like protein kinase 3) (Receptor-interacting protein 3) (RIP-3)
308,P57078,RIPK4_HUMAN,RIPK4 ANKRD3 DIK,"Protein kinase superfamily, TKL Ser/Thr protein kinase family",Cytoplasm. Membrane Peripheral membrane protein,Receptor-interacting serine/threonine-protein kinase 4  (Ankyrin repeat domain-containing protein 3) (PKC-delta-interacting protein kinase)
309,Q15569,TESK1_HUMAN,TESK1,"Protein kinase superfamily, TKL Ser/Thr protein kinase family",Cytoplasm. Membrane Peripheral membrane protein,Dual specificity testis-specific protein kinase 1  (Testicular protein kinase 1)
310,Q96S53,TESK2_HUMAN,TESK2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family",Nucleus,Dual specificity testis-specific protein kinase 2  (Testicular protein kinase 2)
311,P36897,TGFR1_HUMAN,TGFBR1 ALK5 SKR4,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily","Cell membrane Single-pass type I membrane protein Cell junction, tight junction Cell surface Membrane raft",TGF-beta receptor type-1 (TGFR-1)  (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)
312,P37173,TGFR2_HUMAN,TGFBR2,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Cell membrane Single-pass type I membrane protein Membrane raft,TGF-beta receptor type-2 (TGFR-2)  (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)
313,Q59H18,TNI3K_HUMAN,TNNI3K CARK,"Protein kinase superfamily, TKL Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",Nucleus Cytoplasm,Serine/threonine-protein kinase TNNI3K  (Cardiac ankyrin repeat kinase) (Cardiac troponin I-interacting kinase) (TNNI3-interacting kinase)
314,Q6ZMQ8,LMTK1_HUMAN,AATK AATYK KIAA0641 LMR1 LMTK1,"Protein kinase superfamily, Tyr protein kinase family","Membrane Single-pass type I membrane protein Cytoplasm Cytoplasm, perinuclear region",Serine/threonine-protein kinase LMTK1  (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (CDK5-binding protein) (Lemur tyrosine kinase 1) (p35-binding protein) (p35BP)
315,P00519,ABL1_HUMAN,ABL1 ABL JTK7,"Protein kinase superfamily, Tyr protein kinase family, ABL subfamily","Cytoplasm, cytoskeleton. Nucleus. Mitochondrion",Tyrosine-protein kinase ABL1  (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)
316,P42684,ABL2_HUMAN,ABL2 ABLL ARG,"Protein kinase superfamily, Tyr protein kinase family, ABL subfamily","Cytoplasm, cytoskeleton. Nucleus. Mitochondrion",Tyrosine-protein kinase ABL2  (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)
317,Q9UM73,ALK_HUMAN,ALK,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",Cell membrane Single-pass type I membrane protein,ALK tyrosine kinase receptor  (Anaplastic lymphoma kinase) (CD antigen CD246)
318,P30530,UFO_HUMAN,AXL UFO,"Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily",Cell membrane Single-pass type I membrane protein,Tyrosine-protein kinase receptor UFO  (AXL oncogene)
319,P51451,BLK_HUMAN,BLK,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",Cell membrane Lipid-anchor,Tyrosine-protein kinase Blk  (B lymphocyte kinase) (p55-Blk)
320,P51813,BMX_HUMAN,BMX,"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",Cytoplasm,Cytoplasmic tyrosine-protein kinase BMX  (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)
321,Q06187,BTK_HUMAN,BTK AGMX1 ATK BPK,"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",Cytoplasm,Tyrosine-protein kinase BTK  (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)
322,P07333,CSF1R_HUMAN,CSF1R FMS,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily",Cytoplasm,Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R)  (Proto-oncogene c-Fms) (CD antigen CD115)
323,P41240,CSK_HUMAN,CSK,"Protein kinase superfamily, Tyr protein kinase family, CSK subfamily",Cytoplasm Cell membrane,Tyrosine-protein kinase CSK  (C-Src kinase) (Protein-tyrosine kinase CYL)
324,Q08345,DDR1_HUMAN,DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",Cytoplasm Cell membrane,Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1)  (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)
325,Q16832,DDR2_HUMAN,DDR2 NTRKR3 TKT TYRO10,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",Cell membrane Single-pass type I membrane protein,"Discoidin domain-containing receptor 2 (Discoidin domain receptor 2)  (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)"
326,P00533,EGFR_HUMAN,EGFR ERBB ERBB1 HER1,"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",Cell membrane Single-pass type I membrane protein Endoplasmic reticulum membrane Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass type I membrane protein. Nucleus membrane; Single-pass type I membrane protein. Endosome Endosome membrane. Nucleus,Epidermal growth factor receptor  (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)
327,P21709,EPHA1_HUMAN,EPHA1 EPH EPHT EPHT1,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",Cell membrane Single-pass type I membrane protein,Ephrin type-A receptor 1 (hEpha1)  (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH)
328,Q5JZY3,EPHAA_HUMAN,EPHA10,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",Isoform 1: Cell membrane Single-pass type I membrane protein,Ephrin type-A receptor 10 
329,P29317,EPHA2_HUMAN,EPHA2 ECK,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily","Cell membrane Single-pass type I membrane protein Cell projection, ruffle membrane Single-pass type I membrane protein Cell projection, lamellipodium membrane Single-pass type I membrane protein Cell junction, focal adhesion",Ephrin type-A receptor 2  (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)
330,P29320,EPHA3_HUMAN,EPHA3 ETK ETK1 HEK TYRO4,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",Isoform 1: Cell membrane Single-pass type I membrane protein,Ephrin type-A receptor 3  (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)
